ID,Learner_Proficiency,Topic,Original_Sentence,Error_Type,Corrected_Sentence,Grammar_Rule,POS_Tagged,Tokenized,Error_Position
1603,Intermediate,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
1604,Beginner,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,3
1605,Beginner,Daily Life,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
1606,Advanced,Daily Life,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,2
1607,Beginner,Daily Life,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,4
1608,Intermediate,Technology,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,4
1609,Intermediate,Work,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,3
1610,Advanced,Sports,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,0
1611,Advanced,Travel,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
1612,Beginner,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,3
1613,Beginner,Education,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,0
1614,Advanced,Daily Life,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
1615,Beginner,Work,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
1616,Beginner,Technology,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,4
1617,Intermediate,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,1
1618,Advanced,Health,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
1619,Intermediate,Daily Life,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
1620,Beginner,Work,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
1621,Beginner,Travel,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,3
1622,Advanced,Work,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,0
1623,Intermediate,Technology,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
1624,Advanced,Technology,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,2
1625,Advanced,Technology,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,3
1626,Intermediate,Work,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,4
1627,Intermediate,Education,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,3
1628,Intermediate,Technology,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
1629,Advanced,Daily Life,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,4
1630,Intermediate,Education,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,4
1631,Beginner,Education,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
1632,Beginner,Daily Life,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,5
1633,Advanced,Daily Life,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
1634,Advanced,Travel,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,3
1635,Beginner,Work,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
1636,Advanced,Education,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,4
1637,Advanced,Technology,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,0
1638,Beginner,Education,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,2
1639,Beginner,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,5
1640,Beginner,Health,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,3
1641,Beginner,Travel,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,4
1642,Beginner,Technology,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,0
1643,Advanced,Technology,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,2
1644,Beginner,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,3
1645,Beginner,Technology,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,0
1646,Advanced,Sports,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
1647,Advanced,Health,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
1648,Advanced,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,6
1649,Advanced,Work,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,4
1650,Beginner,Work,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
1651,Advanced,Daily Life,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,0
1652,Beginner,Travel,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,0
1653,Advanced,Travel,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,0
1654,Intermediate,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
1655,Intermediate,Education,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,6
1656,Intermediate,Daily Life,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,1
1657,Advanced,Work,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,4
1658,Advanced,Sports,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,5
1659,Advanced,Travel,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,5
1660,Intermediate,Technology,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,0
1661,Intermediate,Work,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,2
1662,Beginner,Sports,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,6
1663,Advanced,Daily Life,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,0
1664,Beginner,Work,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,5
1665,Beginner,Work,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,1
